站点名称,POI编号,拼音名称,gd经度,gd纬度,路线名称,城市名称
金安桥,BV11494889,JinAn Qiao,116.162586,39.923298,S1线,北京
四道桥,BV10813547,si dao qiao,116.134010,39.916030,S1线,北京
桥户营,BV10813541,qiao hu ying,116.125809,39.912383,S1线,北京
上岸,BV10813543,shang an,116.122225,39.905138,S1线,北京
栗园庄,BV10813544,li yuan zhuang,116.123254,39.895780,S1线,北京
小园,BV10813542,xiao yuan,116.114443,39.890465,S1线,北京
石厂,BV10813546,shi chang,116.100334,39.889378,S1线,北京
古城,BV10000295,gu cheng,116.190337,39.907450,1号线,北京
八角游乐园,BV10013455,ba jiao you le yuan,116.212684,39.907442,1号线,北京
八宝山,BV10000302,ba bao shan,116.235948,39.907440,1号线,北京
玉泉路,BV10013456,yu quan lu,116.252888,39.907433,1号线,北京
五棵松,BV10013457,wu ke song,116.273987,39.907456,1号线,北京
万寿路,BV10013458,wan shou lu,116.294765,39.907474,1号线,北京
公主坟,BV10000306,gong zhu fen,116.309919,39.907469,1号线,北京
军事博物馆,BV10000188,jun shi bo wu guan,116.321459,39.907422,1号线,北京
木樨地,BV10013459,mu xi di,116.337583,39.907379,1号线,北京
南礼士路,BV10000309,nan li shi lu,116.352583,39.907234,1号线,北京
复兴门,BV10007375,fu xing men,116.356866,39.907242,1号线,北京
西单,BV10006791,xi dan,116.374072,39.907383,1号线,北京
天安门西,BV10005941,tian an men xi,116.391278,39.907472,1号线,北京
天安门东,BV10006499,tian an men dong,116.401216,39.907780,1号线,北京
王府井,BV10006496,wang fu jing,116.411571,39.908069,1号线,北京
东单,BV10013440,dong dan,116.418480,39.908325,1号线,北京
建国门,BV10013432,jian guo men,116.435806,39.908501,1号线,北京
永安里,BV10013460,yong an li,116.450497,39.908454,1号线,北京
国贸,BV10013461,guo mao,116.461841,39.909104,1号线,北京
大望路,BV10013364,da wang lu,116.475783,39.908287,1号线,北京
四惠,BV10000275,si hui,116.495456,39.908749,1号线,北京
四惠东,BV10007589,si hui dong,116.515664,39.908495,1号线,北京
积水潭,BV10013430,ji shui tan,116.373126,39.948653,2号线,北京
